t,x,u
0,0,1
0,0.0050025,1.0025
0,0.010005,1.005
0,0.0150075,1.0075
0,0.02001,1.01
0,0.0250125,1.0125
0,0.030015,1.01501
0,0.0350175,1.01751
0,0.04002,1.02
0,0.0450225,1.0225
0,0.050025,1.025
0,0.0550275,1.0275
0,0.06003,1.03
0,0.0650325,1.03249
0,0.070035,1.03499
0,0.0750375,1.03748
0,0.08004,1.03998
0,0.0850425,1.04247
0,0.090045,1.04496
0,0.0950475,1.04745
0,0.10005,1.04994
0,0.105053,1.05243
0,0.110055,1.05492
0,0.115058,1.0574
0,0.12006,1.05989
0,0.125063,1.06237
0,0.130065,1.06485
0,0.135068,1.06733
0,0.14007,1.06981
0,0.145073,1.07228
0,0.150075,1.07476
0,0.155078,1.07723
0,0.16008,1.0797
0,0.165083,1.08217
0,0.170085,1.08463
0,0.175088,1.0871
0,0.18009,1.08956
0,0.185093,1.09202
0,0.190095,1.09448
0,0.195098,1.09693
0,0.2001,1.09938
0,0.205103,1.10183
0,0.210105,1.10428
0,0.215108,1.10673
0,0.22011,1.10917
0,0.225113,1.11161
0,0.230115,1.11404
0,0.235118,1.11648
0,0.24012,1.11891
0,0.245123,1.12134
0,0.250125,1.12376
0,0.255128,1.12618
0,0.26013,1.1286
0,0.265133,1.13102
0,0.270135,1.13343
0,0.275138,1.13584
0,0.28014,1.13825
0,0.285143,1.14065
0,0.290145,1.14305
0,0.295148,1.14544
0,0.30015,1.14783
0,0.305153,1.15022
0,0.310155,1.1526
0,0.315158,1.15498
0,0.32016,1.15736
0,0.325163,1.15973
0,0.330165,1.1621
0,0.335168,1.16446
0,0.34017,1.16682
0,0.345173,1.16918
0,0.350175,1.17153
0,0.355178,1.17388
0,0.36018,1.17622
0,0.365183,1.17856
0,0.370185,1.18089
0,0.375188,1.18322
0,0.38019,1.18555
0,0.385193,1.18787
0,0.390195,1.19018
0,0.395198,1.1925
0,0.4002,1.1948
0,0.405203,1.1971
0,0.410205,1.1994
0,0.415208,1.20169
0,0.42021,1.20398
0,0.425213,1.20626
0,0.430215,1.20853
0,0.435218,1.2108
0,0.44022,1.21307
0,0.445223,1.21533
0,0.450225,1.21758
0,0.455228,1.21983
0,0.46023,1.22208
0,0.465233,1.22432
0,0.470235,1.22655
0,0.475238,1.22877
0,0.48024,1.231
0,0.485243,1.23321
0,0.490245,1.23542
0,0.495248,1.23762
0,0.50025,1.23982
0,0.505253,1.24201
0,0.510255,1.2442
0,0.515258,1.24638
0,0.52026,1.24855
0,0.525263,1.25072
0,0.530265,1.25288
0,0.535268,1.25504
0,0.54027,1.25718
0,0.545273,1.25933
0,0.550275,1.26146
0,0.555278,1.26359
0,0.56028,1.26571
0,0.565283,1.26783
0,0.570285,1.26994
0,0.575288,1.27204
0,0.58029,1.27413
0,0.585293,1.27622
0,0.590295,1.2783
0,0.595298,1.28038
0,0.6003,1.28245
0,0.605303,1.28451
0,0.610305,1.28656
0,0.615308,1.2886
0,0.62031,1.29064
0,0.625313,1.29268
0,0.630315,1.2947
0,0.635318,1.29672
0,0.64032,1.29873
0,0.645323,1.30073
0,0.650325,1.30272
0,0.655328,1.30471
0,0.66033,1.30669
0,0.665333,1.30866
0,0.670335,1.31062
0,0.675338,1.31258
0,0.68034,1.31453
0,0.685343,1.31647
0,0.690345,1.3184
0,0.695348,1.32033
0,0.70035,1.32224
0,0.705353,1.32415
0,0.710355,1.32605
0,0.715358,1.32794
0,0.72036,1.32983
