t,x,u
0,0,1
0,0.0020004,1.001
0,0.0040008,1.002
0,0.0060012,1.003
0,0.0080016,1.004
0,0.010002,1.005
0,0.0120024,1.006
0,0.0140028,1.007
0,0.0160032,1.008
0,0.0180036,1.009
0,0.020004,1.01
0,0.0220044,1.011
0,0.0240048,1.012
0,0.0260052,1.013
0,0.0280056,1.014
0,0.030006,1.015
0,0.0320064,1.016
0,0.0340068,1.017
0,0.0360072,1.018
0,0.0380076,1.019
0,0.040008,1.02
0,0.0420084,1.021
0,0.0440088,1.022
0,0.0460092,1.023
0,0.0480096,1.024
0,0.05001,1.02499
0,0.0520104,1.02599
0,0.0540108,1.02699
0,0.0560112,1.02799
0,0.0580116,1.02899
0,0.060012,1.02999
0,0.0620124,1.03099
0,0.0640128,1.03198
0,0.0660132,1.03298
0,0.0680136,1.03398
0,0.070014,1.03498
0,0.0720144,1.03598
0,0.0740148,1.03697
0,0.0760152,1.03797
0,0.0780156,1.03897
0,0.080016,1.03997
0,0.0820164,1.04096
0,0.0840168,1.04196
0,0.0860172,1.04296
0,0.0880176,1.04395
0,0.090018,1.04495
0,0.0920184,1.04594
0,0.0940188,1.04694
0,0.0960192,1.04794
0,0.0980196,1.04893
0,0.10002,1.04993
0,0.10202,1.05092
0,0.104021,1.05192
0,0.106021,1.05291
0,0.108022,1.05391
0,0.110022,1.0549
0,0.112022,1.05589
0,0.114023,1.05689
0,0.116023,1.05788
0,0.118024,1.05887
0,0.120024,1.05987
0,0.122024,1.06086
0,0.124025,1.06185
0,0.126025,1.06285
0,0.128026,1.06384
0,0.130026,1.06483
0,0.132026,1.06582
0,0.134027,1.06681
0,0.136027,1.0678
0,0.138028,1.06879
0,0.140028,1.06979
0,0.142028,1.07078
0,0.144029,1.07177
0,0.146029,1.07276
0,0.14803,1.07374
0,0.15003,1.07473
0,0.15203,1.07572
0,0.154031,1.07671
0,0.156031,1.0777
0,0.158032,1.07869
0,0.160032,1.07967
0,0.162032,1.08066
0,0.164033,1.08165
0,0.166033,1.08264
0,0.168034,1.08362
0,0.170034,1.08461
0,0.172034,1.08559
0,0.174035,1.08658
0,0.176035,1.08756
0,0.178036,1.08855
0,0.180036,1.08953
0,0.182036,1.09052
0,0.184037,1.0915
0,0.186037,1.09248
0,0.188038,1.09347
0,0.190038,1.09445
0,0.192038,1.09543
0,0.194039,1.09641
0,0.196039,1.09739
0,0.19804,1.09837
0,0.20004,1.09935
0,0.20204,1.10033
0,0.204041,1.10131
0,0.206041,1.10229
0,0.208042,1.10327
0,0.210042,1.10425
0,0.212042,1.10523
0,0.214043,1.10621
0,0.216043,1.10718
0,0.218044,1.10816
0,0.220044,1.10914
0,0.222044,1.11011
0,0.224045,1.11109
0,0.226045,1.11206
0,0.228046,1.11304
0,0.230046,1.11401
0,0.232046,1.11498
0,0.234047,1.11596
0,0.236047,1.11693
0,0.238048,1.1179
0,0.240048,1.11887
0,0.242048,1.11985
0,0.244049,1.12082
0,0.246049,1.12179
0,0.24805,1.12276
0,0.25005,1.12373
0,0.25205,1.1247
0,0.254051,1.12566
0,0.256051,1.12663
0,0.258052,1.1276
0,0.260052,1.12857
0,0.262052,1.12953
0,0.264053,1.1305
0,0.266053,1.13146
0,0.268054,1.13243
0,0.270054,1.13339
0,0.272054,1.13436
0,0.274055,1.13532
0,0.276055,1.13628
0,0.278056,1.13724
0,0.280056,1.1382
0,0.282056,1.13917
0,0.284057,1.14013
0,0.286057,1.14109
0,0.288058,1.14205
0,0.290058,1.143
0,0.292058,1.14396
0,0.294059,1.14492
0,0.296059,1.14588
0,0.29806,1.14683
0,0.30006,1.14779
0,0.30206,1.14874
0,0.304061,1.1497
0,0.306061,1.15065
0,0.308062,1.15161
0,0.310062,1.15256
0,0.312062,1.15351
0,0.314063,1.15446
0,0.316063,1.15541
0,0.318064,1.15636
0,0.320064,1.15731
0,0.322064,1.15826
0,0.324065,1.15921
0,0.326065,1.16016
0,0.328066,1.16111
0,0.330066,1.16205
0,0.332066,1.163
0,0.334067,1.16394
0,0.336067,1.16489
0,0.338068,1.16583
0,0.340068,1.16678
0,0.342068,1.16772
0,0.344069,1.16866
0,0.346069,1.1696
0,0.34807,1.17054
0,0.35007,1.17148
0,0.35207,1.17242
0,0.354071,1.17336
0,0.356071,1.1743
0,0.358072,1.17523
0,0.360072,1.17617
0,0.362072,1.17711
0,0.364073,1.17804
0,0.366073,1.17898
0,0.368074,1.17991
0,0.370074,1.18084
0,0.372074,1.18177
0,0.374075,1.18271
0,0.376075,1.18364
0,0.378076,1.18457
0,0.380076,1.1855
0,0.382076,1.18642
0,0.384077,1.18735
0,0.386077,1.18828
0,0.388078,1.1892
0,0.390078,1.19013
0,0.392078,1.19105
0,0.394079,1.19198
0,0.396079,1.1929
0,0.39808,1.19382
0,0.40008,1.19475
0,0.40208,1.19567
0,0.404081,1.19659
0,0.406081,1.19751
0,0.408082,1.19842
0,0.410082,1.19934
0,0.412082,1.20026
0,0.414083,1.20118
0,0.416083,1.20209
0,0.418084,1.203
0,0.420084,1.20392
0,0.422084,1.20483
0,0.424085,1.20574
0,0.426085,1.20665
0,0.428086,1.20756
0,0.430086,1.20847
0,0.432086,1.20938
0,0.434087,1.21029
0,0.436087,1.2112
0,0.438088,1.2121
0,0.440088,1.21301
0,0.442088,1.21391
0,0.444089,1.21482
0,0.446089,1.21572
0,0.44809,1.21662
0,0.45009,1.21752
0,0.45209,1.21842
0,0.454091,1.21932
0,0.456091,1.22022
0,0.458092,1.22112
0,0.460092,1.22202
0,0.462092,1.22291
0,0.464093,1.22381
0,0.466093,1.2247
0,0.468094,1.22559
0,0.470094,1.22649
0,0.472094,1.22738
0,0.474095,1.22827
0,0.476095,1.22916
0,0.478096,1.23004
0,0.480096,1.23093
0,0.482096,1.23182
0,0.484097,1.2327
0,0.486097,1.23359
0,0.488098,1.23447
0,0.490098,1.23536
0,0.492098,1.23624
0,0.494099,1.23712
0,0.496099,1.238
0,0.4981,1.23888
0,0.5001,1.23976
0,0.5021,1.24063
0,0.504101,1.24151
0,0.506101,1.24239
0,0.508102,1.24326
0,0.510102,1.24413
0,0.512102,1.24501
0,0.514103,1.24588
0,0.516103,1.24675
0,0.518104,1.24762
0,0.520104,1.24849
0,0.522104,1.24935
0,0.524105,1.25022
0,0.526105,1.25108
0,0.528106,1.25195
0,0.530106,1.25281
0,0.532106,1.25367
0,0.534107,1.25454
0,0.536107,1.2554
0,0.538108,1.25626
0,0.540108,1.25711
0,0.542108,1.25797
0,0.544109,1.25883
0,0.546109,1.25968
0,0.54811,1.26054
0,0.55011,1.26139
0,0.55211,1.26224
0,0.554111,1.26309
0,0.556111,1.26394
0,0.558112,1.26479
0,0.560112,1.26564
0,0.562112,1.26649
0,0.564113,1.26733
0,0.566113,1.26818
0,0.568114,1.26902
0,0.570114,1.26986
0,0.572114,1.27071
0,0.574115,1.27155
0,0.576115,1.27239
0,0.578116,1.27322
0,0.580116,1.27406
0,0.582116,1.2749
0,0.584117,1.27573
0,0.586117,1.27657
0,0.588118,1.2774
0,0.590118,1.27823
0,0.592118,1.27906
0,0.594119,1.27989
0,0.596119,1.28072
0,0.59812,1.28154
0,0.60012,1.28237
0,0.60212,1.2832
0,0.604121,1.28402
0,0.606121,1.28484
0,0.608122,1.28566
0,0.610122,1.28648
0,0.612122,1.2873
0,0.614123,1.28812
0,0.616123,1.28894
0,0.618124,1.28975
0,0.620124,1.29057
0,0.622124,1.29138
0,0.624125,1.29219
0,0.626125,1.293
0,0.628126,1.29381
0,0.630126,1.29462
0,0.632126,1.29543
0,0.634127,1.29624
0,0.636127,1.29704
0,0.638128,1.29785
0,0.640128,1.29865
0,0.642128,1.29945
0,0.644129,1.30025
0,0.646129,1.30105
0,0.64813,1.30185
0,0.65013,1.30264
0,0.65213,1.30344
0,0.654131,1.30423
0,0.656131,1.30503
0,0.658132,1.30582
0,0.660132,1.30661
0,0.662132,1.3074
0,0.664133,1.30819
0,0.666133,1.30898
0,0.668134,1.30976
0,0.670134,1.31055
0,0.672134,1.31133
0,0.674135,1.31211
0,0.676135,1.31289
0,0.678136,1.31367
0,0.680136,1.31445
0,0.682136,1.31523
0,0.684137,1.316
0,0.686137,1.31678
0,0.688138,1.31755
0,0.690138,1.31832
0,0.692138,1.31909
0,0.694139,1.31986
0,0.696139,1.32063
0,0.69814,1.3214
0,0.70014,1.32216
0,0.70214,1.32293
0,0.704141,1.32369
0,0.706141,1.32445
0,0.708142,1.32521
0,0.710142,1.32597
