t,x,u
0,0,1
0,0.0209789,1.01049
0,0.0419578,1.02097
0,0.0629367,1.03145
0,0.0839157,1.04191
0,0.104895,1.05235
0,0.125873,1.06277
0,0.146852,1.07316
0,0.167831,1.08352
0,0.18881,1.09385
0,0.209789,1.10413
0,0.230768,1.11436
0,0.251747,1.12455
0,0.272726,1.13468
0,0.293705,1.14475
0,0.314684,1.15476
0,0.335663,1.1647
0,0.356642,1.17456
0,0.37762,1.18435
0,0.398599,1.19406
0,0.419578,1.20369
0,0.440557,1.21322
0,0.461536,1.22266
0,0.482515,1.232
0,0.503494,1.24124
0,0.524473,1.25038
0,0.545452,1.2594
0,0.566431,1.26831
0,0.58741,1.2771
0,0.608389,1.28577
0,0.629367,1.29432
0,0.650346,1.30273
0,0.671325,1.31101
0,0.692304,1.31916
0,0.713283,1.32716
0,0.734262,1.33502
0,0.755241,1.34273
0,0.77622,1.35029
0,0.797199,1.3577
0,0.818178,1.36495
0,0.839157,1.37204
0,0.860136,1.37897
0,0.881114,1.38572
0,0.902093,1.39231
0,0.923072,1.39873
0,0.944051,1.40497
0,0.96503,1.41103
0,0.986009,1.41691
0,1.00699,1.42261
0,1.02797,1.42813
0,1.04895,1.43345
0,1.06992,1.43858
0,1.0909,1.44352
0,1.11188,1.44827
0,1.13286,1.45281
0,1.15384,1.45716
0,1.17482,1.46131
0,1.1958,1.46525
0,1.21678,1.46899
0,1.23776,1.47253
0,1.25873,1.47585
0,1.27971,1.47897
0,1.30069,1.48187
0,1.32167,1.48456
0,1.34265,1.48704
0,1.36363,1.48931
0,1.38461,1.49136
0,1.40559,1.49319
0,1.42657,1.49481
0,1.44755,1.49621
0,1.46852,1.49739
0,1.4895,1.49835
0,1.51048,1.49909
0,1.53146,1.49961
0,1.55244,1.49992
0,1.57342,1.5
0,1.5944,1.49986
0,1.61538,1.4995
0,1.63636,1.49893
0,1.65733,1.49813
0,1.67831,1.49711
0,1.69929,1.49588
0,1.72027,1.49442
0,1.74125,1.49275
0,1.76223,1.49087
0,1.78321,1.48876
0,1.80419,1.48644
0,1.82517,1.48391
0,1.84614,1.48117
0,1.86712,1.47821
0,1.8881,1.47504
0,1.90908,1.47166
0,1.93006,1.46808
0,1.95104,1.46429
0,1.97202,1.46029
0,1.993,1.45609
0,2.01398,1.4517
0,2.03495,1.4471
0,2.05593,1.44231
0,2.07691,1.43732
0,2.09789,1.43214
0,2.11887,1.42676
0,2.13985,1.42121
0,2.16083,1.41546
0,2.18181,1.40953
0,2.20279,1.40343
0,2.22377,1.39714
0,2.24474,1.39068
0,2.26572,1.38405
0,2.2867,1.37725
0,2.30768,1.37028
0,2.32866,1.36315
0,2.34964,1.35586
0,2.37062,1.34842
0,2.3916,1.34082
0,2.41258,1.33307
0,2.43355,1.32517
0,2.45453,1.31713
0,2.47551,1.30895
0,2.49649,1.30064
0,2.51747,1.29219
0,2.53845,1.28362
0,2.55943,1.27492
0,2.58041,1.2661
0,2.60139,1.25716
0,2.62236,1.24811
0,2.64334,1.23894
0,2.66432,1.22968
0,2.6853,1.22031
0,2.70628,1.21085
0,2.72726,1.20129
0,2.74824,1.19164
0,2.76922,1.18191
0,2.7902,1.1721
0,2.81117,1.16222
0,2.83215,1.15226
0,2.85313,1.14224
0,2.87411,1.13215
0,2.89509,1.12201
0,2.91607,1.11181
0,2.93705,1.10156
0,2.95803,1.09127
0,2.97901,1.08094
0,2.99998,1.07057
0,3.02096,1.06017
0,3.04194,1.04974
0,3.06292,1.03929
0,3.0839,1.02883
0,3.10488,1.01835
0,3.12586,1.00787
0,3.14684,0.997378
0,3.16782,0.98689
0,3.1888,0.976407
0,3.20977,0.965936
0,3.23075,0.955479
0,3.25173,0.945042
0,3.27271,0.934629
0,3.29369,0.924244
0,3.31467,0.913893
0,3.33565,0.90358
0,3.35663,0.89331
0,3.37761,0.883086
0,3.39858,0.872914
0,3.41956,0.862798
0,3.44054,0.852742
0,3.46152,0.842751
0,3.4825,0.832829
0,3.50348,0.822981
0,3.52446,0.81321
0,3.54544,0.803522
0,3.56642,0.79392
0,3.58739,0.784409
0,3.60837,0.774993
0,3.62935,0.765676
0,3.65033,0.756462
0,3.67131,0.747355
0,3.69229,0.73836
0,3.71327,0.729479
0,3.73425,0.720718
0,3.75523,0.712079
0,3.7762,0.703567
0,3.79718,0.695186
0,3.81816,0.686939
0,3.83914,0.678829
0,3.86012,0.670861
0,3.8811,0.663038
0,3.90208,0.655363
0,3.92306,0.64784
0,3.94404,0.640472
0,3.96502,0.633262
0,3.98599,0.626213
0,4.00697,0.619329
0,4.02795,0.612612
0,4.04893,0.606066
0,4.06991,0.599694
0,4.09089,0.593497
0,4.11187,0.587479
0,4.13285,0.581643
0,4.15383,0.575991
0,4.1748,0.570526
0,4.19578,0.56525
0,4.21676,0.560165
